age,income,loan_amount,loan_term,credit_score,employment_years,num_credit_lines,debt_to_income,num_delinquencies,previous_defaults,loan_to_income,monthly_payment,payment_to_income,education,home_ownership,loan_purpose,employment_status,default
24,,17596.0,12,318,27.0,5,0.3004,8,0,0.341,1522.52,0.354,Bachelor,Mortgage,Debt Consolidation,Full-time,0
58,21267.0,11689.0,36,696,22.0,7,0.5796,5,3,0.5496,360.92,0.2035,High School,Mortgage,Business,Full-time,0
52,,26496.0,36,417,12.0,17,0.1103,8,2,0.2022,818.12,0.0749,Bachelor,Mortgage,Home Improvement,Full-time,0
41,141357.0,33483.0,48,691,2.0,2,0.3624,2,3,0.2369,801.79,0.0681,Master,Mortgage,Medical,Full-time,0
41,157933.0,13809.0,36,610,4.0,3,0.2377,2,1,0.0874,426.38,0.0324,Bachelor,Own,Business,Full-time,0
62,190841.0,38576.0,12,411,,6,0.4055,0,3,0.2021,3337.86,0.2099,Master,Mortgage,Personal,Self-employed,0
24,107011.0,32304.0,24,558,12.0,12,0.4068,6,1,0.3019,1446.33,0.1622,Bachelor,Mortgage,Home Improvement,Self-employed,0
54,168392.0,9165.0,36,320,,16,0.1823,7,1,0.0544,282.99,0.0202,Master,Mortgage,Home Improvement,Full-time,0
30,147513.0,46993.0,60,685,3.0,11,0.4822,2,1,0.3186,930.52,0.0757,Bachelor,Rent,Debt Consolidation,Full-time,0
24,66281.0,3149.0,36,467,17.0,10,0.1002,3,2,0.0475,97.23,0.0176,High School,Rent,Home Improvement,Full-time,0
46,171347.0,33032.0,48,510,10.0,17,0.5,5,0,0.1928,790.99,0.0554,Master,Mortgage,Education,Full-time,0
68,24865.0,22539.0,48,386,1.0,4,0.1666,7,2,0.9064,539.72,0.2603,Bachelor,Mortgage,Debt Consolidation,Full-time,1
56,,33036.0,24,500,18.0,18,0.3743,3,3,0.2626,1479.11,0.1411,Master,Rent,Personal,Unemployed,0
58,188965.0,38927.0,60,517,21.0,6,0.241,4,0,0.206,770.8,0.0489,Bachelor,Mortgage,Debt Consolidation,Full-time,0
55,136908.0,34672.0,48,423,28.0,6,0.3854,1,3,0.2532,830.26,0.0728,Bachelor,Rent,Education,Unemployed,0
59,188356.0,32888.0,60,838,15.0,19,0.1971,8,3,0.1746,651.22,0.0415,High School,Own,Medical,Full-time,0
